NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	TOT
bt251	86.69	3.59	0.04	0.01	0.01	0	0	0	0.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.44
rt251	76.49	2.42	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.92
bg251	93.97	2.98	0	0	0.39	0.32	0.80	0.05	0	0	0.32	0.05	0	0	0	0.32	0.05	0.05	0	0	0.29	0.05	0	0	0	99.64
rg251	74.43	3.07	0.01	0	0.01	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.73
rp251	135.79	6.97	0.38	0.03	0	0.20	5.12	0.35	0.05	0.16	0.33	0.22	0.06	0	0	0.20	0.28	0.11	0	0	0.01	0.05	0	0	0	150.31
bg252	92.04	3.88	0.09	0.24	0	0.58	0.56	0	0	0	0	0	0	0	0	0.58	0	0	0	0	0	0	0	0	0	97.97
bg253	90.85	4.12	0	0	0	0	0.31	0	0	0	0.29	0	0	0	0	0	0	0	0	0	0.28	0	0	0	0	95.85
bt253	86.68	3.76	0.03	0.01	0.03	0	0.01	0.03	0	0.01	0	0.01	0.02	0	0	0	0.01	0	0	0	0	0	0	0	0	90.60
rt253	72.63	4.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.24
rg253	72.87	4.05	0.05	0	0	0	0.54	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.52
cpr253	103.84	0.77	0.17	0.07	0.10	0	0.33	0.32	0.29	0.20	0.44	0.44	0.13	0.53	0.39	0.75	0.14	0.15	0	0	0.07	0.31	0.03	0	0	109.47
