NAME	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	TOT
bt251	68.39	10.75	7.39	1.62	0.23	0.15	0.06	0.39	0.04	0	0.01	0.03	0	0.01	0	0	0	0	0	0	0.01	0.01	0.01	0	0	89.11
rt251	4.30	0.46	0.27	0.01	0.01	0	0.01	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	5.08
bg251	93.22	4.70	1.75	0.18	0.07	4.54	5.77	1.27	0.07	0.06	1.04	1.06	0.14	0.04	0	0.88	0.90	0	0.03	0.03	1.28	0	0.03	0	0	117.06
rg251	4.01	0.20	0.17	0.01	0	0.44	0.26	0.12	0	0	0.07	0	0	0	0	0.01	0.04	0	0	0	0.01	0.01	0	0	0	5.35
rp251	20.31	23.33	6.61	1.18	0.32	18.26	23.19	3.72	2.54	1.12	3.68	2.68	2.05	0.54	0.16	2.20	3.69	0	1.36	0.10	1.17	0.74	0.30	0.36	0.06	119.67
bg252	90.94	4.78	3.19	0.78	0.03	4.47	5.70	1.06	0.03	0	0.87	1.56	0.31	0.03	0	0.86	1.21	0	0	0	0.28	0	0	0	0	116.10
bg253	96.45	3.82	1.25	0.29	0	3.33	3.14	1.05	0.04	0	0.74	0.76	0.29	0.03	0.01	0.50	0.76	0	0	0	0.67	0	0	0	0	113.13
bt253	71.15	9.78	6.31	0.80	0.32	0.33	0.29	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	89.00
rt253	3.53	0.64	0.42	0.05	0.01	0.06	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.72
rg253	3.53	0.28	0.18	0	0	0.25	0.20	0.11	0	0	0.15	0.10	0.02	0	0	0.05	0.08	0	0	0	0.06	0	0	0	0	5.01
cpr253	17.06	1.64	2.15	0.11	0.18	1.40	2.45	1.85	1.85	1.05	1.42	2.94	2.28	14.25	8.51	2.97	3.71	0	3.42	4.57	2.43	2.13	12.83	11.28	3.17	105.65
